anio;trimestre;provincia;media_bajada_mbps;adsl;cablemodem;fibra_optica;wireless;otras_tecnologias;total_tecnologia;512kbps;512kbps_1mbps;1mbps_6mbps;6mbps_10mbps;10mbps_20mbps;20mbps_30mbps;30mbps;otras_velocidades;total_velocidad;accesos_100_hogares
2021;4;Jujuy;27;22330;60511;24156;2927;3991;113915;580;1750;22446;16793;38134;5640;33421;20324;113915;56.92
2021;4;La Pampa;14;8175;58000;20192;19286;1354;107007;3010;4930;64840;9082;12259;4821;12184;30027;107007;89.57
2021;4;La Rioja;40;10387;56651;9446;6613;310;83128;180;10;5018;5437;23559;5671;43424;0;83128;77.92
2021;4;Mendoza;22;59842;71553;109667;24666;1859;267587;1560;1463;66428;30308;75214;18621;75031;36600;267587;47.51
2021;4;Misiones;39;41778;92068;22035;7649;7602;171132;510;50;41916;23554;26721;15954;54596;80335;171132;49.06
2021;4;Neuquen;40;29175;72761;23253;21531;7460;147466;1400;9400;42313;13264;10515;331;69217;70767;147466;73.3
2021;4;Rio Negro;27;42037;44495;32212;16558;18451;153753;1560;1174;38373;19878;31255;413;36142;220645;153753;65.69
2021;4;Salta;34;46972;99808;39555;5882;7188;199405;1140;200;40673;69324;6642;3535;72622;60475;199405;56.81
2021;4;San Juan;11;35868;13102;11072;11423;8493;79958;440;1442;28906;10955;23978;3980;9800;40435;79958;39.59
2021;4;San Luis;21;8472;11064;30;7056;28723;118849;620;2640;8550;4276;9107;67363;9;290218;118849;80.3
2021;4;Santa Cruz;9;10790;22902;10031;4346;4170;48486;520;2970;20305;11641;13054;177;876;49100;48486;43.05
2021;4;Santa Fe;36;233427;444373;128856;43556;16229;866441;4670;5810;169706;206856;8569;62349;322015;180777;866441;77.09
2021;4;Santiago Del Estero;14;19032;86563;1088;6256;2922;115861;1780;9090;31915;61524;12205;8000;7537;79300;115861;47.05
2021;4;Tierra Del Fuego;11;13317;38148;426;1240;3420;52357;260;3850;13505;16534;16562;1748;1017;2058;52357;98.4
2021;4;Tucuman;45;97830;59022;78790;2511;4860;238639;390;970;37321;48736;21023;5326;125857;24000;238639;55.93
2021;3;Buenos Aires;56;585729;2595485;885613;120228;64554;4251609;37193;31149;1108940;248153;141383;192797;2482266;90728;4251609;71.68
2021;3;Capital Federal;78;142902;1192107;42966;6059;29371;1413405;2950;6030;156978;67013;39785;73502;1075229;0;1413405;111.27
2021;3;Catamarca;43;18413;11709;22331;1568;2233;56254;710;0;6755;8428;10517;1659;26618;20206;56254;52.71
2021;3;Chaco;39;38258;63659;27583;8018;2353;139871;3010;1120;22545;20986;23852;14412;49705;70958;139871;42.96
2021;3;Chubut;8;49269;55794;8946;23376;18681;156066;1040;1050;89168;26281;18538;532;1643;140907;156066;80.71
2021;3;Cordoba;42;229275;477223;167495;57617;15178;946788;990;2452;204989;141285;6505;47198;476459;90256;946788;81.28
2021;3;Corrientes;32;44805;69403;7542;6766;5303;133819;670;6450;29629;28478;24792;9687;35468;50053;133819;44.9
2021;3;Entre Rios;30;74443;128752;20485;235;13195;260375;1070;3024;61354;59776;39114;16284;67961;120755;260375;62.18
2021;3;Formosa;27;18093;14111;4730;1569;1710;52795;3810;0;22778;7142;6978;1192;12707;10617;52795;33.96
2021;3;Jujuy;26;23554;60758;19926;2952;3968;111158;480;1750;23884;16417;37755;5610;29917;20401;111158;55.69
2021;3;La Pampa;13;9015;57881;17817;14479;1295;100487;2980;3130;65063;7395;8737;4023;10506;40152;100487;84.28
2021;3;La Rioja;39;11329;54744;9444;6613;300;82160;180;10;5366;5979;23315;4868;42613;0;82160;77.26
2021;3;Mendoza;13;91474;71247;70579;21811;8280;255939;360;310;151871;1264;62628;7596;21087;5000;255939;45.55
2021;3;Misiones;31;43230;89469;10969;7198;7662;158528;510;50;41932;25099;26079;14792;42291;80279;158528;45.57
2021;3;Neuquen;38;29650;73794;16455;1927;6400;139809;1120;3270;57441;8566;6234;3631;57919;50579;139809;69.71
2021;3;Rio Negro;25;47934;44519;18725;15031;18376;144585;1250;5570;68991;373;1488;2282;34011;200009;144585;61.97
2021;3;Salta;31;49212;98318;36126;5724;6453;195833;1010;200;41431;70104;6962;3878;67010;60327;195833;55.96
2021;3;San Juan;7;40072;12922;6670;11372;8447;79483;180;3330;59873;7520;1325;3380;278;40641;79483;39.46
2021;3;San Luis;22;8417;11884;27;68856;2868;117864;600;0;11552;2405;6491;67942;22;290392;117864;79.87
2021;3;Santa Cruz;8;12347;22961;6328;4269;3071;48976;500;0;30561;8365;6799;1788;678;73500;48976;43.75
2021;3;Santa Fe;33;245929;443156;93412;43447;1564;841584;4670;5790;193207;20125;83941;5508;290793;160267;841584;75.02
